code_insee;code_postal;commune;wgs84;federation;licences_en_2011;moins_de_20_ans;entre_20_et_60_ans;plus_de_60_ans;femmes;femmes_moins_de_20_ans;femmes_de_20_a_60_ans;femmes_plus_de_60_ans;licences_en_zone_urbaine_sensible_zus;population_totale_2010;population_femme;population_femmes_de_moins_de_20_ans;population_femme_de_20_a_60_ans;population_femme_de_plus_de_60_ans;population_de_moins_de_20_ans;population_de_20_a_60_ans;population_de_plus_de_60_ans
78206;78920;ECQUEVILLY;48.9510622,1.9226814;FF de la montagne et de l'escalade;7;2;5;;;;;;1;3931;1947;518;1105;325;1087;2184;661
78206;78920;ECQUEVILLY;48.9510622,1.9226814;FF de motocyclisme;3;1;2;;1;;1;;0;3931;1947;518;1105;325;1087;2184;661
78031;78930;AUFFREVILLE BRASSEUIL;48.954607,1.710307;FF d'escrime;2;1;1;;1;1;;;0;586;291;62;163;66;126;335;125
78031;78930;AUFFREVILLE BRASSEUIL;48.954607,1.710307;FF de gymnastique;1;1;;;1;1;;;0;586;291;62;163;66;126;335;125
78031;78930;AUFFREVILLE BRASSEUIL;48.954607,1.710307;FF de tennis;13;5;6;2;3;;3;;0;586;291;62;163;66;126;335;125
78070;78930;BOINVILLE EN MANTOIS;48.9298152,1.7568301;FF de handball;2;;2;;;;;;0;312;158;43;86;30;83;173;56
78104;78930;BREUIL BOIS ROBERT;48.9445389,1.71502;FF de basketball;1;1;;;;;;;0;709;360;89;212;58;177;416;115
78104;78930;BREUIL BOIS ROBERT;48.9445389,1.71502;FF de judo-jujitsu et disciplines associées;3;1;2;;;;;;0;709;360;89;212;58;177;416;115
78104;78930;BREUIL BOIS ROBERT;48.9445389,1.71502;FF de tir;2;;2;;;;;;0;709;360;89;212;58;177;416;115
78104;78930;BREUIL BOIS ROBERT;48.9445389,1.71502;FF d'aéronautique;1;;1;;;;;;0;709;360;89;212;58;177;416;115
78104;78930;BREUIL BOIS ROBERT;48.9445389,1.71502;FF de vol libre;3;;3;;;;;;0;709;360;89;212;58;177;416;115
78104;78930;BREUIL BOIS ROBERT;48.9445389,1.71502;FF des clubs alpins et de montagne;1;;1;;;;;;0;709;360;89;212;58;177;416;115
78104;78930;BREUIL BOIS ROBERT;48.9445389,1.71502;FF handisport;1;;1;;;;;;0;709;360;89;212;58;177;416;115
78281;78930;GOUSSONVILLE;48.9195516,1.7669261;FF de gymnastique;1;1;;;1;1;;;0;617;322;99;190;33;180;373;64
