code_insee;code_postal;commune;wgs84;federation;licences_en_2011;moins_de_20_ans;entre_20_et_60_ans;plus_de_60_ans;femmes;femmes_moins_de_20_ans;femmes_de_20_a_60_ans;femmes_plus_de_60_ans;licences_en_zone_urbaine_sensible_zus;population_totale_2010;population_femme;population_femmes_de_moins_de_20_ans;population_femme_de_20_a_60_ans;population_femme_de_plus_de_60_ans;population_de_moins_de_20_ans;population_de_20_a_60_ans;population_de_plus_de_60_ans
77517;77410;VILLEVAUDE;48.9109799,2.6676652;FF de basketball;2;1;1;;;;;;0;1731;872;237;465;170;496;954;281
77517;77410;VILLEVAUDE;48.9109799,2.6676652;FF de football;28;19;9;;;;;;0;1731;872;237;465;170;496;954;281
77083;77420;CHAMPS SUR MARNE;48.8516672,2.6009206;FF de canoë-kayak;13;7;6;;3;3;;;0;24418;12559;3477;7501;1580;6738;14793;2886
77083;77420;CHAMPS SUR MARNE;48.8516672,2.6009206;FF de taekwondo et disciplines associées;17;8;9;;4;1;3;;0;24418;12559;3477;7501;1580;6738;14793;2886
77083;77420;CHAMPS SUR MARNE;48.8516672,2.6009206;FF de tir;23;;14;10;;;;;0;24418;12559;3477;7501;1580;6738;14793;2886
77083;77420;CHAMPS SUR MARNE;48.8516672,2.6009206;FF de golf;99;11;65;23;14;4;8;2;0;24418;12559;3477;7501;1580;6738;14793;2886
77083;77420;CHAMPS SUR MARNE;48.8516672,2.6009206;FF de motocyclisme;7;3;4;;;;;;0;24418;12559;3477;7501;1580;6738;14793;2886
77083;77420;CHAMPS SUR MARNE;48.8516672,2.6009206;FF de sports de contact et disciplines associées;6;1;5;;;;;;0;24418;12559;3477;7501;1580;6738;14793;2886
77083;77420;CHAMPS SUR MARNE;48.8516672,2.6009206;FF d'éducation physique et de gymnastique volontaire;176;;106;70;167;;101;66;0;24418;12559;3477;7501;1580;6738;14793;2886
77083;77420;CHAMPS SUR MARNE;48.8516672,2.6009206;FF du sport adapté;2;;2;;1;;1;;0;24418;12559;3477;7501;1580;6738;14793;2886
77083;77420;CHAMPS SUR MARNE;48.8516672,2.6009206;FF du sport universitaire;269;;268;1;58;;57;1;0;24418;12559;3477;7501;1580;6738;14793;2886
77079;77430;CHAMPAGNE SUR SEINE;48.3989667,2.8043494;FF de danse;2;;2;;1;;1;;0;6485;3350;907;1818;625;1856;3562;1067
77079;77430;CHAMPAGNE SUR SEINE;48.3989667,2.8043494;FF du sport travailliste;1;1;;;;;;;0;6485;3350;907;1818;625;1856;3562;1067
77008;77440;ARMENTIERES EN BRIE;48.9786894,3.0210095;FF d'athlétisme;4;2;2;;;;;;0;1405;722;307;336;80;571;681;154
77008;77440;ARMENTIERES EN BRIE;48.9786894,3.0210095;FF de gymnastique;2;1;1;;2;1;1;;0;1405;722;307;336;80;571;681;154
77008;77440;ARMENTIERES EN BRIE;48.9786894,3.0210095;FF de handball;3;2;1;;;;;;0;1405;722;307;336;80;571;681;154
77120;77440;COCHEREL;49.0212771,3.1035421;FF de volley-ball;2;;2;;;;;;0;592;291;91;172;28;198;336;58
77120;77440;COCHEREL;49.0212771,3.1035421;FF de rugby;1;1;;;;;;;0;592;291;91;172;28;198;336;58
77120;77440;COCHEREL;49.0212771,3.1035421;FF des sports de billard;1;;1;;;;;;0;592;291;91;172;28;198;336;58
77126;77440;CONGIS SUR THEROUANNE;49.0064755,2.9742277;FF de gymnastique;7;7;;;6;6;;;0;1759;907;327;457;122;578;942;239
77126;77440;CONGIS SUR THEROUANNE;49.0064755,2.9742277;FF de tennis;20;10;10;;6;5;1;;0;1759;907;327;457;122;578;942;239
77157;77440;DHUISY;49.03934,3.1602453;FF de tennis;3;2;1;;3;2;1;;0;276;144;48;75;21;86;150;40
77257;77440;LIZY SUR OURCQ;49.0271049,3.0221443;FF des sociétés d'aviron;1;;1;;;;;;0;3633;1852;516;959;377;1050;1931;652
77257;77440;LIZY SUR OURCQ;49.0271049,3.0221443;FF de basketball;26;15;11;;6;5;1;;0;3633;1852;516;959;377;1050;1931;652
77257;77440;LIZY SUR OURCQ;49.0271049,3.0221443;FF de gymnastique;9;7;2;;7;6;1;;0;3633;1852;516;959;377;1050;1931;652
77257;77440;LIZY SUR OURCQ;49.0271049,3.0221443;FF de bowling et de sports de quilles;1;;1;;;;;;0;3633;1852;516;959;377;1050;1931;652
77280;77440;MARY SUR MARNE;49.0155891,3.0284612;FF de basketball;6;3;3;;1;;1;;0;1203;615;178;309;128;347;618;239
77280;77440;MARY SUR MARNE;49.0155891,3.0284612;FF de gymnastique;6;6;;;5;5;;;0;1203;615;178;309;128;347;618;239
77280;77440;MARY SUR MARNE;49.0155891,3.0284612;FF de natation;1;;1;;;;;;0;1203;615;178;309;128;347;618;239
77280;77440;MARY SUR MARNE;49.0155891,3.0284612;FF de tir;2;;;2;;;;;0;1203;615;178;309;128;347;618;239
77280;77440;MARY SUR MARNE;49.0155891,3.0284612;FF de golf;2;;1;1;1;;1;;0;1203;615;178;309;128;347;618;239
77280;77440;MARY SUR MARNE;49.0155891,3.0284612;FF d'éducation physique et de gymnastique volontaire;1;;1;;1;;1;;0;1203;615;178;309;128;347;618;239
77280;77440;MARY SUR MARNE;49.0155891,3.0284612;FF pour l'entrainement physique dans le monde moderne - Sports pour tous (FFEPMM);1;;1;;1;;1;;0;1203;615;178;309;128;347;618;239
77280;77440;MARY SUR MARNE;49.0155891,3.0284612;Fédération sportive des ASPTT;2;2;;;1;1;;;0;1203;615;178;309;128;347;618;239
77343;77440;OCQUERRE;49.0376191,3.0570819;FF de basketball;1;1;;;1;1;;;0;419;191;57;111;23;145;228;46
77367;77440;LE PLESSIS PLACY;49.0556887,2.9895868;FF de tir;1;;1;;1;;1;;0;269;128;29;78;20;73;156;40
77476;77440;TROCY EN MULTIEN;49.041203,2.9626942;FF de golf;2;;2;;1;;1;;0;274;148;49;86;13;87;159;27
77476;77440;TROCY EN MULTIEN;49.041203,2.9626942;FF de roller sports;3;2;1;;;;;;0;274;148;49;86;13;87;159;27
77490;77440;VENDREST;49.046335,3.0924314;FF de gymnastique;1;1;;;1;1;;;0;730;367;113;210;43;220;422;88
77490;77440;VENDREST;49.046335,3.0924314;FF des sports de billard;1;;1;;;;;;0;730;367;113;210;43;220;422;88
77490;77440;VENDREST;49.046335,3.0924314;FF de danse;1;1;;;1;1;;;0;730;367;113;210;43;220;422;88
