code_insee;code_postal;commune;wgs84;federation;licences_en_2011;moins_de_20_ans;entre_20_et_60_ans;plus_de_60_ans;femmes;femmes_moins_de_20_ans;femmes_de_20_a_60_ans;femmes_plus_de_60_ans;licences_en_zone_urbaine_sensible_zus;population_totale_2010;population_femme;population_femmes_de_moins_de_20_ans;population_femme_de_20_a_60_ans;population_femme_de_plus_de_60_ans;population_de_moins_de_20_ans;population_de_20_a_60_ans;population_de_plus_de_60_ans
91191;91560;CROSNE;48.72046,2.4645591;FF de bowling et de sports de quilles;4;;4;;1;;1;;0;9143;4815;1268;2654;892;2517;5066;1558
91191;91560;CROSNE;48.72046,2.4645591;FF de sports de contact et disciplines associées;2;;2;;;;;;0;9143;4815;1268;2654;892;2517;5066;1558
91191;91560;CROSNE;48.72046,2.4645591;FF de la retraite sportive;2;;;2;;;;;0;9143;4815;1268;2654;892;2517;5066;1558
91064;91570;BIEVRES;48.754517,2.214436;FF de gymnastique;7;6;1;;7;6;1;;0;4643;2295;595;1255;444;1226;2606;811
91064;91570;BIEVRES;48.754517,2.214436;FF de tir à l'arc;10;1;8;1;5;1;4;;0;4643;2295;595;1255;444;1226;2606;811
91064;91570;BIEVRES;48.754517,2.214436;FF de triathlon;5;;5;;;;;;0;4643;2295;595;1255;444;1226;2606;811
91064;91570;BIEVRES;48.754517,2.214436;FF de boxe française, savate et disciplines associées;1;;1;;;;;;0;4643;2295;595;1255;444;1226;2606;811
91064;91570;BIEVRES;48.754517,2.214436;FF de danse;26;21;5;;26;21;5;;0;4643;2295;595;1255;444;1226;2606;811
91038;91580;AUVERS ST GEORGES;48.4914374,2.2197404;FF de football;38;17;19;2;1;;1;;0;1204;585;158;331;96;356;668;180
91038;91580;AUVERS ST GEORGES;48.4914374,2.2197404;FF de taekwondo et disciplines associées;3;2;1;;1;1;;;0;1204;585;158;331;96;356;668;180
91038;91580;AUVERS ST GEORGES;48.4914374,2.2197404;FF de tir à l'arc;8;1;7;;3;1;2;;0;1204;585;158;331;96;356;668;180
91038;91580;AUVERS ST GEORGES;48.4914374,2.2197404;FF de motocyclisme;5;1;4;;;;;;0;1204;585;158;331;96;356;668;180
91038;91580;AUVERS ST GEORGES;48.4914374,2.2197404;FF de planeur ultra léger motorisé;1;;;1;;;;;0;1204;585;158;331;96;356;668;180
91148;91580;CHAUFFOUR LES ETRECHY;48.5031251,2.1686468;FF de gymnastique;1;1;;;1;1;;;0;135;59;12;34;13;40;72;23
91148;91580;CHAUFFOUR LES ETRECHY;48.5031251,2.1686468;FF de taekwondo et disciplines associées;2;1;1;;;;;;0;135;59;12;34;13;40;72;23
91226;91580;ETRECHY;48.5031251,2.1686468;FF du sport automobile;5;1;4;;1;1;;;0;6295;3244;700;1588;955;1439;3148;1708
91226;91580;ETRECHY;48.5031251,2.1686468;FF de motocyclisme;11;4;5;2;3;;2;1;0;6295;3244;700;1588;955;1439;3148;1708
91602;91580;SOUZY LA BRICHE;48.5287031,2.1474475;FF d'athlétisme;3;2;1;;;;;;0;382;211;76;114;22;121;205;56
91602;91580;SOUZY LA BRICHE;48.5287031,2.1474475;FF de taekwondo et disciplines associées;5;5;;;2;2;;;0;382;211;76;114;22;121;205;56
91602;91580;SOUZY LA BRICHE;48.5287031,2.1474475;FF de tir;1;;1;;;;;;0;382;211;76;114;22;121;205;56
91602;91580;SOUZY LA BRICHE;48.5287031,2.1474475;FF de rugby;1;1;;;;;;;0;382;211;76;114;22;121;205;56
91602;91580;SOUZY LA BRICHE;48.5287031,2.1474475;FF d'aéronautique;1;;1;;;;;;0;382;211;76;114;22;121;205;56
91602;91580;SOUZY LA BRICHE;48.5287031,2.1474475;FF d'éducation physique et de gymnastique volontaire;4;;3;1;4;;3;1;0;382;211;76;114;22;121;205;56
91602;91580;SOUZY LA BRICHE;48.5287031,2.1474475;FF du sport travailliste;1;;;1;;;;;0;382;211;76;114;22;121;205;56
91662;91580;VILLECONIN;48.5139748,2.1239463;FF de tennis;19;8;7;4;3;1;2;;0;728;354;88;202;64;206;394;129
91662;91580;VILLECONIN;48.5139748,2.1239463;FF de golf;5;;4;1;1;;1;;0;728;354;88;202;64;206;394;129
91662;91580;VILLECONIN;48.5139748,2.1239463;FF du sport automobile;2;;2;;;;;;0;728;354;88;202;64;206;394;129
91671;91580;VILLENEUVE SUR AUVERS;48.4742717,2.249108;FF de vol libre;6;;6;;;;;;0;600;294;72;175;47;151;359;90
91047;91590;BAULNE;48.4952214,2.361852;FF de danse;2;;2;;1;;1;;0;1316;654;151;373;130;320;748;248
91080;91590;BOISSY LE CUTTE;48.4706356,2.28429;FF de handball;2;;2;;1;;1;;0;1324;638;173;352;112;387;728;208
91080;91590;BOISSY LE CUTTE;48.4706356,2.28429;FF de ski;1;;;1;;;;;0;1324;638;173;352;112;387;728;208
91129;91590;CERNY;48.4781736,2.3266316;FF de basketball;8;6;2;;1;1;;;0;3294;1635;409;861;365;888;1780;626
91129;91590;CERNY;48.4781736,2.3266316;FF d'aéronautique;12;;11;1;2;;2;;0;3294;1635;409;861;365;888;1780;626
91129;91590;CERNY;48.4781736,2.3266316;FF de roller sports;3;3;;;2;2;;;0;3294;1635;409;861;365;888;1780;626
91198;91590;D HUISON LONGUEVILLE;48.454747,2.322929;FF d'escrime;2;2;;;;;;;0;1409;694;167;388;139;362;790;258
91198;91590;D HUISON LONGUEVILLE;48.454747,2.322929;FF d'éducation physique et de gymnastique volontaire;2;1;1;;2;1;1;;0;1409;694;167;388;139;362;790;258
91232;91590;LA FERTE ALAIS;48.481582,2.348072;FF de basketball;43;31;12;;14;9;5;;0;3985;2020;545;1132;343;1155;2223;607
91232;91590;LA FERTE ALAIS;48.481582,2.348072;FF d'altérophilie, musculation, force athlétique et culturisme;6;;5;1;1;;;1;0;3985;2020;545;1132;343;1155;2223;607
91232;91590;LA FERTE ALAIS;48.481582,2.348072;FF de tir;7;;5;2;1;;1;;0;3985;2020;545;1132;343;1155;2223;607
91232;91590;LA FERTE ALAIS;48.481582,2.348072;FF de triathlon;1;;1;;;;;;0;3985;2020;545;1132;343;1155;2223;607
91293;91590;GUIGNEVILLE SUR ESSONNE;48.4730792,2.3548466;FF de tennis;17;9;8;;4;2;2;;0;926;453;125;268;60;279;516;131
91412;91590;MONDEVILLE;48.4917704,2.4162465;FF de basketball;1;;1;;;;;;0;680;341;95;175;71;173;369;137
91412;91590;MONDEVILLE;48.4917704,2.4162465;FF de handball;6;5;1;;;;;;0;680;341;95;175;71;173;369;137
91412;91590;MONDEVILLE;48.4917704,2.4162465;FF de judo-jujitsu et disciplines associées;7;6;1;;4;3;1;;0;680;341;95;175;71;173;369;137
91412;91590;MONDEVILLE;48.4917704,2.4162465;FF de triathlon;4;2;2;;;;;;0;680;341;95;175;71;173;369;137
91473;91590;ORVEAU;48.4480353,2.2948861;FF de spéléologie;1;;;1;;;;;0;197;101;32;61;8;62;117;18
91589;91600;SAVIGNY SUR ORGE;48.6842593,2.3482788;FF de triathlon;16;6;10;;;;;;0;36842;19068;4465;10373;4231;9073;20479;7291
91589;91600;SAVIGNY SUR ORGE;48.6842593,2.3482788;FF des sports de billard;14;1;5;8;;;;;0;36842;19068;4465;10373;4231;9073;20479;7291
91589;91600;SAVIGNY SUR ORGE;48.6842593,2.3482788;FF de ski nautique;5;2;3;;1;;1;;0;36842;19068;4465;10373;4231;9073;20479;7291
91589;91600;SAVIGNY SUR ORGE;48.6842593,2.3482788;FF de sports de contact et disciplines associées;21;5;15;1;2;1;1;;0;36842;19068;4465;10373;4231;9073;20479;7291
91589;91600;SAVIGNY SUR ORGE;48.6842593,2.3482788;FF pour l'entrainement physique dans le monde moderne - Sports pour tous (FFEPMM);12;;8;4;8;;6;2;0;36842;19068;4465;10373;4231;9073;20479;7291
91589;91600;SAVIGNY SUR ORGE;48.6842593,2.3482788;FF du sport travailliste;6;;6;;1;;1;;0;36842;19068;4465;10373;4231;9073;20479;7291
91589;91600;SAVIGNY SUR ORGE;48.6842593,2.3482788;FF du sport adapté;4;3;1;;1;1;;;0;36842;19068;4465;10373;4231;9073;20479;7291
91045;91610;BALLANCOURT SUR ESSONNE;48.5262129,2.3858373;FF des sociétés d'aviron;6;2;3;1;4;2;2;;0;7399;3824;1029;1987;807;2095;3920;1383
91045;91610;BALLANCOURT SUR ESSONNE;48.5262129,2.3858373;FF des sports de glace;1;1;;;1;1;;;0;7399;3824;1029;1987;807;2095;3920;1383
91045;91610;BALLANCOURT SUR ESSONNE;48.5262129,2.3858373;FF de tir;7;1;3;3;;;;;0;7399;3824;1029;1987;807;2095;3920;1383
91045;91610;BALLANCOURT SUR ESSONNE;48.5262129,2.3858373;FF de rugby;59;32;27;;8;5;3;;0;7399;3824;1029;1987;807;2095;3920;1383
91045;91610;BALLANCOURT SUR ESSONNE;48.5262129,2.3858373;FF de spéléologie;1;;1;;1;;1;;0;7399;3824;1029;1987;807;2095;3920;1383
91045;91610;BALLANCOURT SUR ESSONNE;48.5262129,2.3858373;FF des clubs alpins et de montagne;2;;;2;;;;;0;7399;3824;1029;1987;807;2095;3920;1383
91045;91610;BALLANCOURT SUR ESSONNE;48.5262129,2.3858373;Fédération sportive des ASPTT;3;;3;;;;;;0;7399;3824;1029;1987;807;2095;3920;1383
91458;91620;NOZAY;48.660164,2.2455976;FF de taekwondo et disciplines associées;1;;1;;;;;;0;4731;2370;745;1362;262;1560;2677;493
91458;91620;NOZAY;48.660164,2.2455976;FF de baseball et softball;2;2;;;1;1;;;0;4731;2370;745;1362;262;1560;2677;493
91458;91620;NOZAY;48.660164,2.2455976;FF d'éducation physique et de gymnastique volontaire;17;;14;3;16;;14;2;0;4731;2370;745;1362;262;1560;2677;493
91458;91620;NOZAY;48.660164,2.2455976;FF du sport universitaire;7;1;6;;1;;1;;0;4731;2370;745;1362;262;1560;2677;493
91665;91620;LA VILLE DU BOIS;48.6610752,2.2687891;FF de handball;21;9;11;;6;3;3;;0;7138;3621;1060;2032;530;2088;4063;988
91665;91620;LA VILLE DU BOIS;48.6610752,2.2687891;FF de tennis;231;119;103;9;54;23;29;1;0;7138;3621;1060;2032;530;2088;4063;988
91665;91620;LA VILLE DU BOIS;48.6610752,2.2687891;FF d'aïkido, d'aïkibudo et affinitaires;11;10;1;;;;;;0;7138;3621;1060;2032;530;2088;4063;988
91665;91620;LA VILLE DU BOIS;48.6610752,2.2687891;FF de danse;5;;4;1;4;;4;;0;7138;3621;1060;2032;530;2088;4063;988
91665;91620;LA VILLE DU BOIS;48.6610752,2.2687891;FF de vol à voile;1;;1;;;;;;0;7138;3621;1060;2032;530;2088;4063;988
91665;91620;LA VILLE DU BOIS;48.6610752,2.2687891;FF des clubs alpins et de montagne;1;;1;;;;;;0;7138;3621;1060;2032;530;2088;4063;988
91041;91630;AVRAINVILLE;48.5623782,2.247154;FF de canoë-kayak;2;;2;;1;;1;;0;737;352;93;211;48;204;431;102
91156;91630;CHEPTAINVILLE;48.550704,2.2646803;FF de football;54;30;23;1;1;;1;;0;1905;955;277;527;151;563;1051;291
91156;91630;CHEPTAINVILLE;48.550704,2.2646803;FF de handball;5;1;4;;;;;;0;1905;955;277;527;151;563;1051;291
91156;91630;CHEPTAINVILLE;48.550704,2.2646803;FF de golf;9;1;6;2;2;;1;1;0;1905;955;277;527;151;563;1051;291
91156;91630;CHEPTAINVILLE;48.550704,2.2646803;FF de motocyclisme;1;;1;;;;;;0;1905;955;277;527;151;563;1051;291
91332;91630;LEUDEVILLE;48.5658961,2.3258897;FF de football;32;21;11;;;;;;0;1374;687;190;406;92;398;790;187
91332;91630;LEUDEVILLE;48.5658961,2.3258897;FF de judo-jujitsu et disciplines associées;36;23;12;1;9;4;5;;0;1374;687;190;406;92;398;790;187
91332;91630;LEUDEVILLE;48.5658961,2.3258897;FF de natation;9;2;7;;8;1;7;;0;1374;687;190;406;92;398;790;187
91376;91630;MAROLLES EN HUREPOIX;48.5640037,2.2995562;FF de football;136;71;64;2;5;2;2;1;0;4812;2462;647;1318;497;1274;2615;923
